nta_name,nta_code,borough,coverage_status,demand_score,expansion_rank,population,gap_population,pct_gap_pop,median_income,no_vehicle_rate,transit_share,bike_share,bus_stop_count,bus_stop_density,area_sqkm,norm_transit,norm_no_vehicle,norm_density,norm_bus_density,norm_inv_income,centroid_lat,centroid_lon
Mount Hope,BX0502,Bronx,Covered,0.7516,0,48070.0,0.0,0.0,41486.521884751404,0.757852170393719,0.7235018559534847,0.0016306216845225713,41,34.799597425290045,1.1781745489447506,1.0,0.8468791172299233,0.753442014442941,0.3902784966166954,0.0013815033879952532,40.84970350902497,-73.9048380199034
Fordham Heights,BX0503,Bronx,Covered,0.7477,0,33606.0,0.0,0.0,40303.51493780872,0.7765027082148652,0.6677477148863158,0.0074115324028518345,20,29.174286581899114,0.6855351867424513,0.904906880757791,0.8693448999326988,0.9107153012673156,0.3140417685228625,0.001390416251328075,40.85861948005796,-73.89873051559444
Harlem (North),MN1002,Manhattan,Covered,0.7191,0,86108.0,0.0,0.0,54703.856575463375,0.7699219950891975,0.6481134005810862,0.01832071684968531,103,46.59724699843658,2.2104310154515314,0.8714189970646881,0.8614180040689811,0.718144493698164,0.5501655193420265,0.0012819229941298804,40.81896076027872,-73.94132228185643
Mount Eden-Claremont (West),BX0403,Bronx,Covered,0.7096,0,53166.0,0.0,0.0,45404.97080841139,0.7511436939725086,0.6520939125937967,0.0017409124100527258,42,33.22329670409423,1.2641731606010123,0.8782080766958084,0.8387983221884673,0.7774609383510258,0.3689157643479345,0.0013519814990297085,40.8406556482174,-73.91410745176121
Washington Heights (South),MN1201,Manhattan,Covered,0.6938,0,60428.0,0.0,0.0,55960.83636724697,0.8392613303020544,0.6175095334474829,0.015205224002788058,95,48.629800136329195,1.9535346584537916,0.8192216691011487,0.9449417315124194,0.5646685247623069,0.5777115883902533,0.0012724528138192692,40.83998659489743,-73.938575512141
Hamilton Heights-Sugar Hill,MN0903,Manhattan,Covered,0.6868,0,39245.0,0.0,0.0,64785.47626449229,0.796075614511217,0.6721477934848651,0.023274947270284375,62,41.75298849836006,1.4849236480985113,0.9124115645505672,0.8929217352997232,0.47851163488892806,0.4845139618782343,0.0012059673129788395,40.82593351395648,-73.94869522228677
East Harlem (North),MN1102,Manhattan,Covered,0.6861,0,64572.0,0.0,0.0,36709.117790993,0.8440599659736567,0.658821572075648,0.0258859452531871,87,35.85316912554611,2.426563735421947,0.8896826346942524,0.950721999475833,0.4819838113144202,0.40455697143807284,0.001417496709829269,40.80157301165448,-73.9373706574422
Concourse-Concourse Village,BX0401,Bronx,Covered,0.6792,0,68692.0,0.0,0.0,-31163710.073472895,0.7576281849007273,0.6685154192672061,0.00311372039128926,61,24.774519062386947,2.4622072318090376,0.9062162616008538,0.8466093121732337,0.5066251315206909,0.25441415159655345,0.2364838020228457,40.829084237361045,-73.91858187177282
Upper East Side-Yorkville,MN0803,Manhattan,Covered,0.6762,0,68059.0,0.0,0.0,135656.47231078916,0.747979720844092,0.5055864075972838,0.015114952637984541,52,41.020498979852775,1.267658885025748,0.6283278816852216,0.834987111302107,1.0,0.4745869363664563,0.000672019897326126,40.77742025928544,-73.94936833019321
Upper West Side-Manhattan Valley,MN0703,Manhattan,Covered,0.6746,0,53065.0,0.0,0.0,100362.78654480354,0.7742906115214028,0.5531817902911891,0.03247933799452214,52,42.401839478832876,1.226361889935425,0.7095055900179082,0.866680285962344,0.8006911748719577,0.4933074805208245,0.0009379251809388256,40.79962880846117,-73.96866645492032
Harlem (South),MN1001,Manhattan,Covered,0.6724,0,49776.0,0.0,0.0,68758.08389585343,0.7272427147151288,0.5850919438267889,0.015504654388453573,73,54.46727317775462,1.3402543535044171,0.7639308932710298,0.810008042169248,0.6834022903429455,0.6568236334672088,0.0011760373882353514,40.80405514715223,-73.9517613605108
Parkchester,BX0904,Bronx,Gap Zone,0.6699,1,30221.0,30221.0,100.0,59699.77085470368,0.6883327033626354,0.636769163043893,0.004198919201551327,37,43.36347637126871,0.853252624010446,0.8520704982413156,0.7631384093259244,0.6504859762963264,0.5063400137149257,0.001244283400120616,40.837658367837705,-73.85824711480167
East Harlem (South),MN1101,Manhattan,Covered,0.6681,0,49510.0,0.0,0.0,47246.79060795799,0.8366236773113875,0.6059683085941077,0.01919770324920103,50,32.31641138324704,1.5472014948392505,0.7995371927523699,0.9417645073754048,0.5850817853837041,0.35662524893598274,0.0013381050901046798,40.79041670505543,-73.94777178539528
University Heights (North)-Fordham,BX0701,Bronx,Covered,0.653,0,44997.0,0.0,0.0,42687.61561881903,0.7220299736696983,0.6714648867330336,0.008970960820521985,57,33.494652379691146,1.7017641907088692,0.911246812804056,0.8037289574192253,0.47874914666706964,0.37259329780930855,0.0013724542574475862,40.863880675533345,-73.90430487138931
Highbridge,BX0402,Bronx,Covered,0.6527,0,32025.0,0.0,0.0,40235.22882123341,0.7590427989355378,0.6704139494420336,0.0003237751730612651,31,25.571435319856896,1.2122901828638333,0.9094543557198592,0.8483133065469679,0.47828157678964556,0.26521431708530513,0.001390930724067374,40.83747404515462,-73.92708961591948
Melrose,BX0102,Bronx,Covered,0.6492,0,42760.0,0.0,0.0,30236.16929373246,0.7644550710607428,0.6490899497979781,0.006071540849349341,49,30.53721940049588,1.6045992713797745,0.8730845793757115,0.854832739426554,0.48270939809014246,0.33251284356107114,0.0014662643907507045,40.8182458365966,-73.91196621758897
Chinatown-Two Bridges,MN0301,Manhattan,Covered,0.6486,0,40100.0,0.0,0.0,-64556519.77094763,0.8601817892961691,0.42969851304713896,0.025016249523516866,42,39.17069954413573,1.0722300211329223,0.4988950455340334,0.9701417815223028,0.688366088744707,0.4495176272144882,0.4880677423374652,40.711738660544015,-73.99390149768226
Washington Heights (North),MN1202,Manhattan,Covered,0.6411,0,73256.0,0.0,0.0,73112.1142841542,0.7286369074569005,0.6246409725230586,0.01397990841081308,66,28.679024670847262,2.301333492247042,0.8313849052913587,0.8116874377707473,0.5818730300807713,0.3073297576315084,0.0011432337957474337,40.854519650577714,-73.93217532550955
Tremont,BX0602,Bronx,Covered,0.6352,0,32561.0,0.0,0.0,-49927720.7858481,0.7254551593146583,0.6248518554686288,0.004038639393560308,36,24.48000252765753,1.470588083450039,0.8317445829171891,0.8078548157271338,0.39649060320145274,0.25042273181506985,0.377853270297391,40.84554167777812,-73.89050954246792
Claremont Village-Claremont (East),BX0302,Bronx,Covered,0.6321,0,23929.0,0.0,0.0,30474.76392661624,0.7740433226198788,0.6124072351032417,0.0,32,34.45023803777769,0.9288760200991706,0.810519293715727,0.8663824104383393,0.46573781041550627,0.385543821969498,0.0014644668008376716,40.83727664257693,-73.90365353786648
Flatbush,BK1401,Brooklyn,Covered,0.6292,0,70800.0,16205.0,22.9,79037.85632768362,0.6354365459315189,0.6411659042095796,0.01735494297738294,75,33.6033788810777,2.2319184111045756,0.8595694897770667,0.6994215562219941,0.5797612403895918,0.37406680797675806,0.001098588809413381,40.64250320083981,-73.95691260314936
