station_name,borough,capacity,lat,lon,distance_km
Ditmas Ave & McDonald Ave,Brooklyn,23,40.63548,-73.97825,6.32
Cortelyou Rd & E 8 St,Brooklyn,16,40.63874,-73.97063,6.39
Cortelyou Rd & Stratford Rd,Brooklyn,21,40.63966,-73.96807,6.42
Cortelyou Rd & Argyle Rd,Brooklyn,25,40.64034,-73.96603,6.44
E 16 St & Cortelyou Rd,Brooklyn,26,40.64173,-73.96364,6.53
E 3 St & Cortelyou Rd,Brooklyn,14,40.63828,-73.9765,6.54
Cortelyou Rd & E 19 St,Brooklyn,23,40.64269,-73.96099,6.58
Cortelyou Rd & E 34 St,Brooklyn,19,40.64454,-73.94486,6.63
Cortelyou Rd & Albany Ave,Brooklyn,21,40.64483,-73.93853,6.68
Beverley Rd & Nostrand Ave,Brooklyn,25,40.64507,-73.9488,6.7
Ocean Pkwy & Ave C,Brooklyn,16,40.64078,-73.97395,6.71
Bedford Ave & Beverley Rd,Brooklyn,24,40.64491,-73.95487,6.73
Matthews Ct & Coney Island Ave,Brooklyn,21,40.64235,-73.96951,6.74
Brooklyn Ave & Beverley Rd,Brooklyn,21,40.64575,-73.94331,6.76
15 Ave & 37 St,Brooklyn,14,40.63899,-73.98074,6.77
