geoid,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,lat,lon
36047060000,6509.0,94482.0,29.6,47.6,0.0,40.58707427603967,-73.94569214437408
36047061004,5636.0,38137.0,71.4,40.0,0.0,40.579874217163386,-73.95576516330178
36047059402,5617.0,77500.0,24.0,33.1,1.56,40.59461465744232,-73.94301811161333
36047057200,5520.0,40330.0,67.4,45.2,1.99,40.596368776392225,-73.93821587205213
36047061002,5248.0,78468.0,46.5,57.4,0.0,40.5737268399797,-73.95602793723589
36047062800,4808.0,108227.0,11.8,23.9,0.0,40.589886225704845,-73.92688286825393
36047037401,4602.0,56667.0,39.8,44.7,0.0,40.58799786017361,-73.96775497503492
36047059404,4487.0,76179.0,45.5,43.9,0.0,40.59082896346582,-73.94708027940662
36047036002,4321.0,38047.0,78.9,37.1,0.0,40.57636213825862,-73.96123764213463
36047037000,4184.0,79688.0,22.2,49.0,0.0,40.587849182857404,-73.96316502079888
36047036600,4146.0,48075.0,48.4,37.7,5.48,40.58287062702003,-73.96376752825891
36047038800,3996.0,76221.0,40.4,45.6,0.5,40.59292479326416,-73.9692516041802
36047060800,3930.0,68349.0,34.7,25.5,1.14,40.58393705071153,-73.9492447580631
36047059200,3910.0,54919.0,49.6,45.6,0.63,40.59233798636007,-73.95145084142533
36047036200,3860.0,51768.0,50.9,36.7,2.17,40.578116993555184,-73.96400088002596
36047057000,3696.0,77121.0,40.4,45.1,0.6,40.59926677886901,-73.93688262844682
36047058000,3655.0,36984.0,51.8,61.5,1.89,40.59900675862886,-73.9554539290242
36047058400,3526.0,71944.0,47.8,44.9,0.66,40.59407482439654,-73.95867192594393
36047058800,3445.0,85074.0,41.2,46.8,0.0,40.58962172214685,-73.95854792421733
36047059800,3402.0,80633.0,37.9,32.9,0.0,40.587896176875354,-73.9362265138524
36047039200,3351.0,54276.0,35.9,49.7,0.66,40.59584995296473,-73.96303960175747
36047062600,3200.0,76125.0,27.0,32.1,0.0,40.59233351647695,-73.93443910941473
36047036001,3108.0,28952.0,76.0,39.6,0.0,40.57578954244439,-73.96555911346728
36047057800,3066.0,53939.0,46.3,50.2,1.61,40.59943985858356,-73.95151267819914
36047059403,3066.0,79148.0,49.2,59.5,4.27,40.59527072138276,-73.94819009845831
36047062200,3003.0,66313.0,37.0,20.9,1.33,40.58409432843659,-73.93571462779906
36047057600,2905.0,81711.0,45.1,48.2,1.82,40.59987316101303,-73.94757100263766
36047035601,2725.0,30450.0,53.1,46.4,0.0,40.58087927539452,-73.96970265143891
36047060600,2721.0,94722.0,43.0,42.0,0.0,40.58646418227686,-73.95612144193011
36047039000,2456.0,78088.0,20.3,24.5,0.0,40.59296920137528,-73.96442654019845
36047058600,2455.0,79143.0,27.7,44.8,0.0,40.59456401589395,-73.95461365668683
36047059600,2344.0,53212.0,37.9,33.3,0.0,40.59109678603977,-73.94005652134562
36047058200,2340.0,54567.0,57.5,57.9,0.0,40.5985398820107,-73.95926184931113
36047036400,2216.0,56682.0,64.6,48.3,0.41,40.58016139634137,-73.96386375776518
36047039600,2028.0,82868.0,24.6,30.3,0.0,40.5973496231672,-73.9697067518024
36047039400,1970.0,50139.0,51.2,16.7,1.44,40.59849296737116,-73.96506909742233
36047059000,1915.0,72292.0,59.3,62.6,0.0,40.58999090084084,-73.95468696326502
36047061003,1744.0,49010.0,57.2,47.9,1.92,40.58143118248616,-73.95869371733522
36047062000,1707.0,87052.0,18.2,20.4,0.0,40.57917541313892,-73.94592833702265
36047061600,1556.0,172462.0,18.9,30.3,0.0,40.57562413507829,-73.94043347245419
36047063200,1491.0,87667.0,15.5,37.6,1.89,40.599760407234854,-73.93156834386761
36047061200,1065.0,148693.0,15.5,38.7,0.0,40.58108907844163,-73.94934729641412
