station_id,station_name,borough,lat,lon,capacity,total_trips,avg_duration_min,member_trips,member_pct,trips_per_dock
3db799ba-b574-4e5f-95e5-c767bec2acb6,Melrose Ave & E 150 St,Bronx,40.816827,-73.917338,31,2090,9.54,1820,87.1,67.42
4b67c6e0-d603-4fbc-afbe-0b8952f4f7af,E 161 St & River Ave,Bronx,40.827883,-73.927111,38,1346,11.65,1088,80.8,35.42
1f8f6714-42a7-45d5-86cd-a093c940b2c9,Grand Concourse & E 161 St,Bronx,40.82713380423556,-73.9227358996868,27,1256,12.18,1065,84.8,46.52
11a8d465-b4eb-466b-a6ca-055f73994231,Lincoln Ave & E 138 St,Bronx,40.810893,-73.927311,26,1233,9.49,1067,86.5,47.42
dfe2c398-ff5c-4a8d-83c8-fa18801540d8,Plaza Dr & W 170 St,Bronx,40.840484,-73.917946,30,1195,9.58,1060,88.7,39.83
4bbf50a9-47c2-4a32-97c2-1f6bc4f9d401,E Fordham Rd & Webster Ave,Bronx,40.861748,-73.89105,35,1192,12.07,953,79.9,34.06
8fc95e31-b025-4d2b-b5aa-240465366480,Grand Concourse & E 144 St,Bronx,40.816576,-73.927987,23,1073,11.36,898,83.7,46.65
f3140fb8-347b-4dca-96df-eeef2d1bfc50,Morris Ave & E 163 St,Bronx,40.827230499624726,-73.91765579597632,21,1069,14.02,915,85.6,50.9
c4d6b123-df5a-446d-b0ae-d3c4846565d5,E 170 St & Webster Ave,Bronx,40.83617913677475,-73.90730146322765,25,1061,12.32,937,88.3,42.44
9eb98b3b-ea35-483f-91f6-d90c506152db,Courtlandt Ave & E 149 St,Bronx,40.816402,-73.919549,23,1010,12.23,899,89.0,43.91
141eb0e0-e78d-411a-a0be-202a6424cc93,River Ave & E 151 St,Bronx,40.822217,-73.928939,27,985,11.29,880,89.3,36.48
e780c290-0c52-4ab1-9719-a581be789df3,Willis Ave & E 137 St,Bronx,40.808384,-73.923604,22,976,11.18,862,88.3,44.36
77a498ea-5693-46cc-a4b1-6e428f574797,E 149 St & Park Ave,Bronx,40.818154,-73.925294,27,918,11.83,721,78.5,34.0
19b61564-7629-41b4-80c8-1756135a5442,Cauldwell Ave & E 158 St,Bronx,40.81989,-73.908351,19,894,10.28,817,91.4,47.05
c80c55c4-d623-42d7-8acf-6bfa68a84ecb,3 Ave & E 169 St,Bronx,40.832678,-73.905158,20,875,11.44,754,86.2,43.75
17c45d34-0d8d-46ba-9078-e9a2a7c5867c,Grand Concourse & E 167 St,Bronx,40.834263,-73.917641,30,864,9.79,725,83.9,28.8
d5cb6e67-addb-46d4-93e7-832371736d45,E 149 St & Morris Ave,Bronx,40.81734,-73.922962,35,840,11.91,743,88.5,24.0
ebae0b66-e463-4ded-9b7a-43c0aca9b37a,Morris Ave & E 142 St,Bronx,40.814469,-73.924963,23,804,11.07,695,86.4,34.96
6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,Boston Rd & Prospect Ave,Bronx,40.833246,-73.896599,19,785,9.91,700,89.2,41.32
36d80620-9774-487e-8eb0-cf5f18a39321,E 188 St & Creston Ave,Bronx,40.861669,-73.898589,33,775,10.05,634,81.8,23.48
f3782e27-c49a-4ee9-b188-0c13cad54688,E 138 St & Park Ave,Bronx,40.81263616769319,-73.92924964427948,21,767,8.87,668,87.1,36.52
7938263e-e5b8-4ca7-b8bf-1adbaae5fead,Southern Blvd & E 149 St,Bronx,40.811892,-73.904192,27,749,12.14,651,86.9,27.74
bb58e953-4953-4fbe-9ef2-367488dfef9b,Washington Ave & E 163 St,Bronx,40.824,-73.91089,23,730,10.52,603,82.6,31.74
b4ae292d-5e89-4c58-8154-0496893394b5,Grand Concourse & E 166 St,Bronx,40.83196,-73.91956,24,727,10.33,655,90.1,30.29
c0c6a931-c1d3-4202-a433-c4127a4cd846,Westchester Ave & Southern Blvd,Bronx,40.824956,-73.891677,21,721,10.68,616,85.4,34.33
89171660-8cef-443f-8f75-67503532d1ce,E 161 St & Park Ave,Bronx,40.824811,-73.916407,21,718,10.41,631,87.9,34.19
b4f990dd-36bb-46b3-9eea-4b980bd43c2d,Jerome Ave & W Fordham Rd,Bronx,40.86294,-73.90108,24,715,8.6,594,83.1,29.79
ccfa8b82-07a7-4a08-88fc-be261c30a4ca,E 149 St & Jackson Ave,Bronx,40.813167759506804,-73.90923197581881,23,682,10.93,558,81.8,29.65
be435dfd-e859-487c-ae32-3d2b76d49a49,E 156 St & Brook Ave,Bronx,40.819823,-73.912411,19,673,9.29,542,80.5,35.42
0197e9da-ae03-40a7-8270-fe500bfc9e18,Boston Rd & E 167 St,Bronx,40.828199,-73.903719,21,669,11.27,573,85.7,31.86
1b22c037-207d-454a-90aa-8f22d0a8a7e3,Westchester Ave & Jackson Ave,Bronx,40.816124,-73.908116,25,667,11.11,557,83.5,26.68
062f0ac2-b3b6-4c15-b470-92ce9b592635,Bergen Ave & E 152 St,Bronx,40.817166,-73.914737,21,661,10.81,576,87.1,31.48
82c85f05-4722-48ae-9f64-0522012eb3c8,Southern Blvd & E 174 St,Bronx,40.836733,-73.887931,27,653,9.91,517,79.2,24.19
b96507c5-7c90-499d-9c45-58f25d6f636a,Shakespeare Ave & W 169 St,Bronx,40.839312,-73.922423,20,649,9.1,584,90.0,32.45
abc1311e-e000-4211-af9e-0cf92242711e,Grand Concourse & E 164 St,Bronx,40.829608,-73.921461,22,648,11.14,549,84.7,29.45
fea72f55-d296-47af-9446-149688dcccbd,Franklin Ave & E 169 St,Bronx,40.83169292241844,-73.90210601220633,19,642,10.82,566,88.2,33.79
36025f2c-ee4d-4c1a-832d-733cf37f98ef,Tiebout Ave & E Fordham Rd,Bronx,40.861915,-73.894831,31,637,11.33,509,79.9,20.55
7cd61426-ed98-434e-9235-56ed856fead6,Westchester Ave & Longwood Ave,Bronx,40.819701,-73.901311,23,636,8.26,499,78.5,27.65
05969d95-8a64-4007-abf1-afb847f2d426,E 163 St & Union Ave,Bronx,40.822545,-73.901824,24,628,12.22,527,83.9,26.17
943a1a27-1328-4823-8945-28d845280383,Isham St & Broadway,Bronx,40.86788,-73.919685,29,625,13.33,554,88.6,21.55
78ec2f0d-c309-46d4-8808-7eb1a0674e38,Concourse Village East & E 158 St,Bronx,40.823732,-73.919379,31,619,8.88,515,83.2,19.97
bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,Fulton Ave & St Paul's Pl,Bronx,40.83545,-73.90153,19,612,11.32,530,86.6,32.21
7f1b4c40-d9fa-4182-be0e-a993655cfb6f,Brook Ave & E 138 St,Bronx,40.807408,-73.91924,23,609,13.38,527,86.5,26.48
e15a5c77-70b0-4b9d-9eae-f10ddda7d994,Jerome Ave & E Mosholu Pkwy S,Bronx,40.87935,-73.88534,23,608,18.7,479,78.8,26.43
545a32d3-b74c-4dc2-b82c-a6d185dd4666,Sheridan Ave & E 168 St,Bronx,40.835334,-73.9154,22,601,10.43,543,90.3,27.32
8d8a381c-21df-4095-837e-65924d85a06d,3 Ave & E 170 St,Bronx,40.834857,-73.903743,21,595,10.9,514,86.4,28.33
d873e463-2dc9-4bf8-86c7-fea8ddaa3a9f,Washington Ave & E 167 St,Bronx,40.829896,-73.907618,19,594,10.57,501,84.3,31.26
8ef6ec7d-e898-4edc-8f3f-af888f8c5ef4,Jerome Ave & Bedford Park Blvd E,Bronx,40.87307,-73.88971,25,590,7.06,495,83.9,23.6
b896d83d-5524-4c9c-a2aa-c1b0edaadc22,Walton Ave & E 168 St,Bronx,40.83649,-73.918316,20,580,12.44,518,89.3,29.0
c29c9178-bcb1-4c0c-b789-f4a89512a4e4,Concourse Village West & E 156 St,Bronx,40.823162,-73.923267,21,578,10.8,455,78.7,27.52
18d980e5-ba08-4bc3-832e-03eb71865768,Riverside Dr & Broadway,Bronx,40.865364,-73.92791,24,578,15.12,479,82.9,24.08
493850bd-125b-49f5-932b-bf999504fb06,Cauldwell Ave & E 161 St,Bronx,40.82188,-73.907521,18,571,12.45,486,85.1,31.72
18267c09-1916-48d8-951c-caf88c89edd1,3 Ave & E 172 St,Bronx,40.839586,-73.900277,19,565,11.14,475,84.1,29.74
db41cc62-86ea-4421-bfaf-9b6511cfee10,Jerome Ave & W 195 St,Bronx,40.86874,-73.89657,32,561,9.95,467,83.2,17.53
1804894168423871442,Walton Ave & E 151 St,Bronx,40.82090903827738,-73.92753845245076,29,551,13.49,458,83.1,19.0
c0a2d591-4eed-488b-b88b-0b23990e3756,E Burnside Ave & Ryer Ave,Bronx,40.850535,-73.901318,21,548,10.21,479,87.4,26.1
d3433b47-99a7-4b21-9fa7-d7052bb5c23b,Walton Ave & E 171 St,Bronx,40.840683,-73.915073,19,543,12.85,451,83.1,28.58
d040a7b3-85b5-4c0d-9c92-3f4ad0082143,E 170 St & Sheridan Ave,Bronx,40.838315,-73.912604,30,541,9.89,466,86.1,18.03
9635affa-8b18-42d5-84c4-7f67ad5ef9d0,Alexander Ave & E 134 St,Bronx,40.807466,-73.927107,19,536,12.0,493,92.0,28.21
039d4cc9-8560-4d22-88c3-20753c54a50f,3 Ave & E 163 St,Bronx,40.823872,-73.908699,27,521,10.87,411,78.9,19.3
