geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005038600,Bronx,40.879635467406366,-73.8484001075809,8233.0,62340.0,56.4,41.4,0.0,0,Gap Zone
36005004200,Bronx,40.82393050737351,-73.86200672793245,8179.0,52423.0,37.6,44.6,0.0,0,Gap Zone
36005021002,Bronx,40.83847854682782,-73.85651579977798,7925.0,71397.0,69.3,55.8,0.0,0,Gap Zone
36005021001,Bronx,40.8408054409449,-73.85827929705177,7895.0,46269.0,65.4,60.3,0.0,0,Gap Zone
36005035800,Bronx,40.87398192265843,-73.8425963359944,7781.0,85804.0,33.4,42.8,0.0,0,Gap Zone
36005046203,Bronx,40.87927418327128,-73.82477821112714,7762.0,41371.0,40.0,56.6,0.0,0,Gap Zone
36005013200,Bronx,40.8117462036849,-73.81937288538472,7249.0,104651.0,18.2,27.5,0.0,0,Gap Zone
36005042600,Bronx,40.890841062559915,-73.8419291600853,6844.0,87763.0,23.5,40.9,0.0,0,Gap Zone
36005030000,Bronx,40.852194040702706,-73.83122974232788,6702.0,90307.0,30.1,33.0,0.0,0,Gap Zone
36005046207,Bronx,40.87732074948681,-73.83164927633369,6671.0,69637.0,45.5,41.2,0.0,0,Gap Zone
36005046204,Bronx,40.87298464610072,-73.82612015117833,6483.0,73104.0,29.1,43.4,0.0,0,Gap Zone
36005005002,Bronx,40.82736289422021,-73.87843506813137,6466.0,36598.0,78.8,68.6,0.57,0,Gap Zone
36005000400,Bronx,40.808377770325315,-73.8508898589729,6257.0,100553.0,26.0,30.5,4.71,0,Gap Zone
36005014400,Bronx,40.82125697308863,-73.82333968754621,6253.0,29213.0,71.6,47.0,0.0,0,Gap Zone
36005007800,Bronx,40.82913041696946,-73.85264568148969,6241.0,61328.0,34.7,44.3,0.0,0,Gap Zone
36005006200,Bronx,40.833288327296245,-73.87551877224891,6217.0,30236.0,70.8,64.6,0.0,0,Gap Zone
36005034800,Bronx,40.86944715354705,-73.85307063453257,6177.0,47593.0,53.1,43.8,0.0,0,Gap Zone
36005001600,Bronx,40.8188477982676,-73.85807635854405,6177.0,41362.0,54.1,44.2,0.54,0,Gap Zone
36005007200,Bronx,40.83104782996437,-73.86069249457205,6176.0,63449.0,42.0,43.1,0.29,0,Gap Zone
36005021602,Bronx,40.8371926607121,-73.86227184347649,6093.0,60286.0,69.0,72.5,2.08,0,Gap Zone
36005026400,Bronx,40.84178129236126,-73.83208884312518,6076.0,70463.0,20.4,39.2,2.24,0,Gap Zone
36005021800,Bronx,40.83746673041079,-73.86939498437339,6037.0,55804.0,57.9,58.5,2.04,0,Gap Zone
36005009200,Bronx,40.83233943939181,-73.85215452165184,5959.0,56208.0,45.3,38.6,0.0,0,Gap Zone
36005011800,Bronx,40.80929178718503,-73.79797410268009,5798.0,109396.0,5.2,17.3,0.0,0,Gap Zone
36005005400,Bronx,40.829898437572574,-73.87971537594292,5715.0,48750.0,66.2,64.7,0.0,0,Gap Zone
36005022800,Bronx,40.85348963570699,-73.86353632768383,5693.0,86549.0,44.0,58.1,0.0,0,Gap Zone
36005034000,Bronx,40.868440553167915,-73.86292303644721,5580.0,64727.0,45.8,57.3,1.07,0,Gap Zone
36005046208,Bronx,40.8750210229963,-73.83696727654724,5483.0,88817.0,19.2,43.4,0.0,0,Gap Zone
36005030202,Bronx,40.865287702916426,-73.82029072489547,5417.0,59107.0,47.5,41.9,0.0,0,Gap Zone
36005045800,Bronx,40.88586112995426,-73.84520273727586,5315.0,27753.0,78.8,49.0,0.0,0,Gap Zone
36005033000,Bronx,40.86165615843272,-73.8660255248303,5278.0,44785.0,58.1,62.3,0.0,0,Gap Zone
36005026602,Bronx,40.84597299777996,-73.8306202222139,5273.0,46069.0,61.9,63.3,0.0,0,Gap Zone
36005002800,Bronx,40.821601441956886,-73.87821431650578,5230.0,64308.0,32.5,43.7,0.0,0,Gap Zone
36005007600,Bronx,40.83337502240842,-73.86765570989313,5109.0,53784.0,54.8,62.2,0.0,0,Gap Zone
36005033201,Bronx,40.85947560744532,-73.86923230899717,5059.0,37898.0,66.3,64.8,0.45,0,Gap Zone
36005033601,Bronx,40.86756764218703,-73.8688860318059,5005.0,27674.0,76.1,66.9,0.0,0,Gap Zone
